"country","region","infant_mortality","life_expectancy","maternal_mortality"
"AFGHANISTAN","South Asia",42,54.4,521
"ALBANIA","Europe",10.8,79.9,7
"ALGERIA","Africa",18.6,77.9,62
"ANDORRA","Europe",3.3,83.8,11
"ANGOLA","Africa",46.1,62.9,183
"ANTIGUA AND BARBUDA","Central America and the Caribbean",13.3,78.3,35
"ARGENTINA","South America",7.4,78.8,33
"ARMENIA","Central Asia",11.3,76.7,19
"AUSTRALIA","Australia and Oceania",3,83.5,2
"AUSTRIA","Europe",3.2,82.7,6
"AZERBAIJAN","Central Asia",10.7,75.9,18
"BAHAMAS, THE","Central America and the Caribbean",9.2,76.7,76
"BAHRAIN","Middle East",9.6,80.4,17
"BANGLADESH","South Asia",22,75.2,115
"BARBADOS","Central America and the Caribbean",15.1,79,35
"BELARUS","Europe",2.1,74.7,1
"BELGIUM","Europe",3,82.3,4
"BELIZE","Central America and the Caribbean",11.3,74.3,67
"BENIN","Africa",51.6,63,518
"BHUTAN","South Asia",23,73.7,47
"BOLIVIA","South America",22.1,72.5,146
"BOSNIA AND HERZEGOVINA","Europe",3.8,78.5,6
"BOTSWANA","Africa",27.8,66.4,155
"BRAZIL","South America",12.7,76.3,67
"BRUNEI","East and Southeast Asia",9.8,78.9,36
"BULGARIA","Europe",7.5,76.1,6
"BURKINA FASO","Africa",48,64.2,242
"BURMA","East and Southeast Asia",30.8,70.3,185
"BURUNDI","Africa",35.3,68.1,392
"CABO VERDE","Africa",21.9,74.3,40
"CAMBODIA","East and Southeast Asia",27.2,71.4,137
"CAMEROON","Africa",44.6,64.2,258
"CANADA","North America",3.8,84.2,12
"CENTRAL AFRICAN REPUBLIC","Africa",79.3,56.4,692
"CHAD","Africa",61.1,60,748
"CHILE","South America",4.5,80.3,10
"CHINA","East and Southeast Asia",6,78.7,16
"COLOMBIA","South America",11.6,74.9,59
"COMOROS","Africa",53.9,67.8,179
"CONGO, DEMOCRATIC REPUBLIC OF THE","Africa",55.8,62.6,427
"CONGO, REPUBLIC OF THE","Africa",29.9,72.9,241
"COOK ISLANDS","Australia and Oceania",14.8,77.6,0
"COSTA RICA","Central America and the Caribbean",6.3,80.3,24
"COTE D'IVOIRE","Africa",52.3,63.2,359
"CROATIA","Europe",3.4,77.7,3
"CUBA","Central America and the Caribbean",5.2,80.1,35
"CYPRUS","Europe",7.9,80.2,14
"CZECHIA","Europe",2.5,78.6,3
"DENMARK","Europe",3.1,82.1,4
"DJIBOUTI","Africa",44.3,65.9,162
"DOMINICA","Central America and the Caribbean",10.5,78.7,36
"DOMINICAN REPUBLIC","Central America and the Caribbean",20.8,72.6,124
"ECUADOR","South America",11.2,74.9,55
"EGYPT","Africa",16.4,75,17
"EL SALVADOR","Central America and the Caribbean",10,75.9,39
"EQUATORIAL GUINEA","Africa",76.9,63.9,174
"ERITREA","Africa",39,67.5,291
"ESTONIA","Europe",2,78.4,5
"ESWATINI","Africa",38,60.7,118
"ETHIOPIA","Africa",31.3,67.7,195
"FIJI","Australia and Oceania",9.4,74.8,30
"FINLAND","Europe",1.9,82.2,8
"FRANCE","Europe",3.1,82.6,7
"GABON","Africa",26,70.4,233
"GAMBIA, THE","Africa",35,68.4,354
"GAZA STRIP","Middle East",14.2,75.5,16
"GEORGIA","Central Asia",20.9,72.8,20
"GERMANY","Europe",3,81.9,4
"GHANA","Africa",30.5,70.1,234
"GREECE","Europe",3.4,81.9,5
"GRENADA","Central America and the Caribbean",8.8,76.3,48
"GUATEMALA","Central America and the Caribbean",23.4,73.5,94
"GUINEA","Africa",45.8,64.6,494
"GUINEA-BISSAU","Africa",45.1,64.5,505
"GUYANA","South America",20.6,72.4,75
"HAITI","Central America and the Caribbean",35,65.6,328
"HONDURAS","Central America and the Caribbean",15.4,73.1,47
"HUNGARY","Europe",4.6,76,12
"ICELAND","Europe",1.6,84,3
"INDIA","South Asia",30.5,68.2,80
"INDONESIA","East and Southeast Asia",18.5,73.6,140
"IRAN","Middle East",9.7,75.6,16
"IRAQ","Middle East",18.3,73.7,66
"IRELAND","Europe",3.2,82,4
"ISRAEL","Middle East",2.6,83.1,2
"ITALY","Europe",3,83,6
"JAMAICA","Central America and the Caribbean",14.5,76.3,130
"JAPAN","East and Southeast Asia",1.8,85.2,3
"JORDAN","Middle East",12.9,76.5,31
"KAZAKHSTAN","Central Asia",7.9,73.3,10
"KENYA","Africa",26.8,70.4,379
"KIRIBATI","Australia and Oceania",30.8,68.5,80
"KOREA, NORTH","East and Southeast Asia",14.7,73.5,67
"KOREA, SOUTH","East and Southeast Asia",2.2,83.4,4
"KUWAIT","Middle East",7,79.6,8
"KYRGYZSTAN","Central Asia",24,72.9,42
"LAOS","East and Southeast Asia",34.2,69,112
"LATVIA","Europe",2.4,76.4,19
"LEBANON","Middle East",7.3,79.2,15
"LESOTHO","Africa",52.2,60.2,478
"LIBERIA","Africa",55.2,61.6,628
"LIBYA","Africa",10.4,77.7,59
"LITHUANIA","Europe",2.5,76.1,8
"LUXEMBOURG","Europe",3.1,83.4,12
"MADAGASCAR","Africa",38.4,68.8,445
"MALAWI","Africa",28.9,73,225
"MALAYSIA","East and Southeast Asia",6.3,76.6,26
"MALDIVES","South Asia",23.7,77.4,32
"MALI","Africa",55.8,63.2,367
"MALTA","Europe",4.6,83.6,8
"MARSHALL ISLANDS","Australia and Oceania",20.1,75.2,155
"MAURITANIA","Africa",29.9,65.9,381
"MAURITIUS","Africa",11.4,75.4,66
"MEXICO","North America",12.3,74.6,42
"MICRONESIA, FEDERATED STATES OF","Australia and Oceania",20.4,75,129
"MOLDOVA","Europe",13.5,70.1,19
"MONACO","Europe",1.7,89.8,5
"MONGOLIA","East and Southeast Asia",8.6,71.9,41
"MONTENEGRO","Europe",3.1,78.2,6
"MOROCCO","Africa",17.8,74.2,70
