"country","maternal_mortality","region"
"NIGERIA",993,"Africa"
"CHAD",748,"Africa"
"SOUTH SUDAN",692,"Africa"
"CENTRAL AFRICAN REPUBLIC",692,"Africa"
"LIBERIA",628,"Africa"
"SOMALIA",563,"Africa"
"AFGHANISTAN",521,"South Asia"
"BENIN",518,"Africa"
"GUINEA-BISSAU",505,"Africa"
"GUINEA",494,"Africa"
"LESOTHO",478,"Africa"
"MADAGASCAR",445,"Africa"
"CONGO, DEMOCRATIC REPUBLIC OF THE",427,"Africa"
"BURUNDI",392,"Africa"
"MAURITANIA",381,"Africa"
"KENYA",379,"Africa"
"MALI",367,"Africa"
"COTE D'IVOIRE",359,"Africa"
"ZIMBABWE",358,"Africa"
"GAMBIA, THE",354,"Africa"
"SIERRA LEONE",354,"Africa"
"NIGER",350,"Africa"
"TOGO",349,"Africa"
"HAITI",328,"Central America and the Caribbean"
"ERITREA",291,"Africa"
"TANZANIA",276,"Africa"
"NAURU",273,"Australia and Oceania"
"CAMEROON",258,"Africa"
"SUDAN",256,"Africa"
"BURKINA FASO",242,"Africa"
"CONGO, REPUBLIC OF THE",241,"Africa"
"SENEGAL",237,"Africa"
"GHANA",234,"Africa"
"GABON",233,"Africa"
"RWANDA",229,"Africa"
"VENEZUELA",227,"South America"
"MALAWI",225,"Africa"
"ETHIOPIA",195,"Africa"
"TIMOR-LESTE",192,"East and Southeast Asia"
"PAPUA NEW GUINEA",189,"East and Southeast Asia"
"BURMA",185,"East and Southeast Asia"
"ANGOLA",183,"Africa"
"COMOROS",179,"Africa"
"EQUATORIAL GUINEA",174,"Africa"
"UGANDA",170,"Africa"
"TUVALU",170,"Australia and Oceania"
"DJIBOUTI",162,"Africa"
"PAKISTAN",155,"South Asia"
"MARSHALL ISLANDS",155,"Australia and Oceania"
"BOTSWANA",155,"Africa"
"BOLIVIA",146,"South America"
"NEPAL",142,"South Asia"
"INDONESIA",140,"East and Southeast Asia"
"NAMIBIA",139,"Africa"
"CAMBODIA",137,"East and Southeast Asia"
"JAMAICA",130,"Central America and the Caribbean"
"MICRONESIA, FEDERATED STATES OF",129,"Australia and Oceania"
"DOMINICAN REPUBLIC",124,"Central America and the Caribbean"
"SOLOMON ISLANDS",123,"Australia and Oceania"
"SOUTH AFRICA",118,"Africa"
"ESWATINI",118,"Africa"
"YEMEN",118,"Middle East"
"BANGLADESH",115,"South Asia"
"LAOS",112,"East and Southeast Asia"
"SAMOA",101,"Australia and Oceania"
"VANUATU",100,"Australia and Oceania"
"GUATEMALA",94,"Central America and the Caribbean"
"PALAU",89,"Australia and Oceania"
"ZAMBIA",85,"Africa"
"PHILIPPINES",84,"East and Southeast Asia"
"SURINAME",84,"South America"
"MOZAMBIQUE",82,"Africa"
"KIRIBATI",80,"Australia and Oceania"
"INDIA",80,"South Asia"
